"id","en","es","zh","ko","ja","de","fr","hmn","it","ru","fil","pt-br","vi","lo","th","km","nl","hi","bn","sw","ha","yo","ig","am","om","zu","so","sn","idn"
"11","D. ORGANIZATION","D. ORGANIZACIÓN","D. 所属单位","D. 소속","D. 所属","D. DRAMAVEREIN","D. CLUB","D. KOOM HAUM","D. ORGANIZZ.","D. ОРГ.","D. ORGANISASYON","D. ORG","D. ĐƠN VỊ","ຊ່ອງ ງ ອົງການ","ช่อง ง หน่วยงาน","ឃ. អង្គភាព","D. ORGANISATIE","घ. संगठन","ঘ. প্রতিষ্ঠান","d. Shirika","d. Ƙungiya","d. Ẹgbẹ́","d. Ụlọ ọrụ","ደ። ተቋማት","d. Dhaabbata","d. Inhlangano","d. Hay'adda","d. Sangano","d. Organisasi"
"12","E. TITLE OF PERSON FILLING OUT THIS FORM","E. TÍTULO DE LA PERSONA QUE LLENA ESTE FORMULARIO","E. 填表人头衔","E. 작성자 직함","E. 肩書き記入者","E. TITEL DER FORMULARHELDIN","E. TITRE DU HÉROS DU FORMULAIRE","E. NPE TUS SAU TSAB NTAWV NO","E. TITOLO DI CHI COMPILA","E. ЗВАНИЕ ЗАПОЛНИВШЕГО","E. TITULO NG TAGASAGOT","E. TÍTULO DE QUEM PREENCHE","E. CHỨC DANH NGƯỜI GHI","ຊ່ອງ ຈ ຕໍາແໜ່ງຜູ້ກອກ","ช่อง จ ตำแหน่งผู้กรอก","ង. ឋានន្តរសក្តិអ្នកបំពេញ","E. FUNCTIE VAN INVULLER","ङ. फ़ॉर्म भरने वाले का पद","ঙ. ফর্ম পূরণকারীর পদ","e. Wadhifa wa anayejaza fomu","e. Matsayin mai cike fom","e. Ìpò ẹni tó ń kún fọ́ọmù","e. Ọkwa onye dere fọm","ሄ። ቅፅን የሚሞላው የስራ መደብ","e. Sadarkaa nama foomii guutu","e. Isikhundla somgcwalisi wefomu","e. Jagada buuxiyaha foomka","e. Chinzvimbo chomuzadzisi wefomu","e. Jabatan pengisi formulir"
"13","PART II - INCIDENT REPORT","PARTE II - REPORTE","第二部分 - 事件报告","2부 - 사건 보고","第2部 - 事件レポ","TEIL II - VORFALLGEBRABBEL","PARTIE II - RAPPORT DU DRAME","NTU II - KEV QHIA TXOG ZAJ MOB POB TW","PARTE II - RAPPORTO","ЧАСТЬ II - ИНЦИДЕНТ","BAHAGI II - INSIDENTE","PARTE II - RELATO DRAMA","PHẦN II - BÁO CÁO DRAMA","ພາກທີ ໒ ລາຍງານເຫດ","ภาคที่ ๒ รายงานเหตุ","ផ្នែកទី ២ - របាយការណ៍ហេតុ","DEEL II - INCIDENTRAPPORT","भाग २ - घटना रिपोर्ट","অংশ ২ - ঘটনা বিবরণ","Sehemu ya 2 - Ripoti ya Tukio","Sashe na 2 - Rahoton abin da ya faru","Apá 2 - Ìròyìn Ìṣẹ̀lẹ̀","Akụkụ 2 - Akụkọ ihe mere","ክፍል ፪ ፡ የክስተት ሪፖርት","Kutaa 2 - Gabaasa taatee","Ingxenye 2 - Umbiko wesigameko","Qaybta 2 - Warbixinta Dhacdada","Chikamu 2 - Mushumo wezvakaitika","Bagian 2 - Laporan Kejadian"
"14","A. DATE FEELINGS WERE HURT","A. FECHA DEL DRAMA","A. 玻璃心受伤日期","A. 마음이 삐진 날짜","A. 心が折れた日","A. DATUM DES GEFÜHLS-GAUs","A. DATE DU CLAQUE-ÉMOI.","A. XYOO HLI HNUB MOB POB TW","A. DATA DEL DRAMMA","A. ДАТА ОБИДЫ","A. PETSA NG PAGTAMPO","A. DIA QUE DOEU","A. NGÀY LÒNG TỔN THƯƠNG","ຊ່ອງ ກ ວັນທີໃຈເຈັບ","ช่อง ก วันที่โดนแทงใจ","ក. ថ្ងៃក្នងគេបំផ្លាញចិត្ត","A. DATUM VAN GEKWETSTE GEVOELENS","क. दिल दुखने की तारीख","ক. অনুভূতি আঘাতের তারিখ","a. Tarehe ya kuumizwa hisia","a. Ranar da aka ji rauni a zuciya","a. Ọjọ́ tí inú rẹ̀ bàjẹ́","a. ụbọchị a kpatara obi iwe","አ። ስሜትህ በተጎዳበት ቀን","a. Guyyaa sammuu kee miidhamte","a. Usuku imizwa ilimale ngalo","a. Taariikhda dhaawaca dareenka","a. Zuva rakuvadzwa manzwiro","a. Tanggal hati terluka"
"15","B. TIME OF HURTFULNESS","B. HORA DE LA OFENSA","B. 受伤时间","B. 삐진 시각","B. しょんぼり時刻","B. UHRZEIT DES AUA","B. HEURE DE LA BLESSURE","B. SIJHAWM UAS POB TW MOB","B. ORA DEL TORTO","B. ВРЕМЯ ОБИДЫ","B. ORAS NG HAPDI","B. HORA DO DODÓI","B. GIỜ ĐAU TIM","ຊ່ອງ ຂ ເວລາເຈັບໃຈ","ช่อง ข เวลาใจพัง","ខ. ម៉ោងឈឺចិត្ត","B. TIJDSTIP VAN DE KWETS","ख. चोट पहुँचने का समय","খ. আঘাতের সময়","b. Saa ya maumivu","b. Lokacin raunin","b. Àkókò ìfarapa ọkàn","b. Oge mmegbu","ቢ። የእርሱ ሰዓት","b. Sa'aatii miidhaa","b. Isikhathi sokulimala","b. Waqtiga dhaawaca","b. Nguva yekukuvara","b. Waktu kejadian pedih"
"16","C. LOCATION OF HURTFUL INCIDENT","C. LUGAR DEL INCIDENTE OFENSIVO","C. 受伤地点","C. 마음 부서진 장소","C. しょげポイント","C. ORT DER DRAMABEULE","C. LIEU DU DRAME.","C. QHOV CHAW UAS MOB POB TW","C. LUOGO DELL'OFFESA","C. ГДЕ СЛУЧИЛОСЬ","C. LUGAR NG PAGTATAMPO","C. ONDE O DRAMA ROLOU","C. CHỖ DRAMA ĐAU","ຊ່ອງ ຄ ຈຸດເກີດເຫດດຣາມ່າ","ช่อง ค จุดเกิดดราม่า","គ. ទីកន្លែងហេតុការណ៍ឈឺ","C. LOCATIE VAN HET INCIDENT","ग. घटना का स्थान","গ. নাটকীয় ঘটনার স্থান","c. Mahali pa tukio","c. Wurin drama","c. Ibí tí drama ṣẹlẹ̀","c. Ebe ihe nkiri mere","ግ። የድራማው ቦታ","c. Bakka dramaa","c. Indawo yedrama","c. Goobta drama","c. Nzvimbo yedrama","c. Lokasi drama"
"17","D. NAME OF WHO HURT YOUR SENSITIVE FEELINGS","D. QUIÉN HIRIÓ TUS SENTIMIENTOS","D. 谁戳伤了你敏感的心","D. 마음 콕 찌른 범인 이름","D. 心グサリ犯の名前","D. NAME DES FÜHLCHENZERSTÖRERS","D. NOM DU BRIS-CŒUR SENSIBLE","D. NPE TUS CHIV KEV MOB POB TW","D. CHI HA FERITO IL CUORE","D. КТО РАНИЛ ЧУЙКУ","D. PANGALAN NG NANAKIT NG DAMDAMIN","D. QUEM FERIU SUA FOFURA","D. TÊN KẺ ĐÂM NÁT CẢM XÚC","ຊ່ອງ ງ ຊື່ຄົນທີ່ຕໍ່ຕ້ານໃຈອ່ອນ","ช่อง ง ชื่อคนเหยียบใจอ่อน","ឃ. ឈ្មោះអ្នកធ្វើឱ្យចិត្តទន់ឈឺ","D. NAAM VAN DE GEVOELSBELEDIGER","घ. जिसने दिल दुखाया उसका नाम","ঘ. যিনি আপনার মন ভেঙেছেন তার নাম","d. Jina la aliyeumiza hisia zako","d. Sunan wanda ya bata maka rai","d. Orúkọ ẹni tí fọ ọkàn rẹ","d. Aha onye kpasuru gị iwe","ደ። ስሜትህን ያቃጠለው ሰው ስም","d. Maqaa nama garaa kee tuqee","d. Igama lalowo olimaze umuzwa wakho","d. Magaca qofka dhaawacay dareenkaaga","d. Zita remunhu akakuvadzwa manzwiro ako","d. Nama pelaku penghancur perasaan"
"18","E. ORGANIZATION","E. ORGANIZACIÓN","E. 所属单位","E. 소속","E. 所属","E. DRAMAVEREIN","E. CLUB","E. KOOM HAUM","E. ORGANIZZ.","E. ОРГ.","E. ORGANISASYON","E. ORG","E. ĐƠN VỊ","ຊ່ອງ ຈ ອົງການ","ช่อง จ หน่วยงาน","ង. អង្គភាព","E. ORGANISATIE","ङ. संगठन","ঙ. প্রতিষ্ঠান","e. Shirika","e. Ƙungiya","e. Ẹgbẹ́","e. Ụlọ ọrụ","ሄ። ተቋማት","e. Dhaabbata","e. Inhlangano","e. Hay'adda","e. Sangano","e. Organisasi"
"19","PART III - INJURY","PARTE III - LESIÓN","第三部分 - 伤情","3부 - 부상","第3部 - ダメージ","TEIL III - WEHBERICHT","PARTIE III - BLESSURE","NTU III - KEV MOB","PARTE III - FERITA","ЧАСТЬ III - УЩЕРБ","BAHAGI III-SUGAT","PARTE III - DOR","PHẦN III - THƯƠNG","ພາກທີ ໓ ບາດເຈັບ","ภาคที่ ๓ อาการ","ផ្នែកទី ៣ - របួស","DEEL III - LETSEL","भाग ३ - चोट","অংশ ৩ - আঘাত","Sehemu ya 3 - Majeraha","Sashe na 3 - Rauni","Apá 3 - Ìfarapa","Akụkụ 3 - Mmerụ ahụ","ክፍል ፫ ፡ ጉዳት","Kutaa 3 - Miidhaa","Ingxenye 3 - Ukulimala","Qaybta 3 - Dhaawaca","Chikamu 3 - Kukuvara","Bagian 3 - Cedera"
"20","1. WHICH EAR WERE THE WORDS OF HURTFULNESS SPOKEN INTO?","1. ¿EN QUÉ OÍDO SE DIJERON LAS PALABRAS HIRIENTES?","1. 刺耳话是对着哪只耳朵说的？","1. 상처 발언이 꽂힌 귀는?","1. イヤダ話が入った耳は?","1. WELCHES OHR HAT DEN MECKER ABGEKRIEGT?","1. QUELLE OREILLE A PRIS LA RÂLERIE ?","1. SAB POB NTSEG TWG HNOV LUS PHEM?","1. IN QUALE ORECCHIO E' VOLATO IL TORTO?","1. В КАКОЕ УХО ВЛЕТЕЛА ОБИДА?","1. SAANG TENGA BINUHOS ANG HAPDING LINYA?","1. QUAL ORELHA OUVIU O XINGAÇO?","1. TAI NÀO NGHE LỜI CÀ KHỊA?","ຂໍ້ ໑ ດ່າເຂົ້າຫູໃສ່ຂ້າງໃດ","ข้อ ๑ ด่าเข้าหูข้างไหน","ពាក្យចាក់ចូលត្រចៀកណា?","1. IN WELK OOR WERDEN DE KWETSENDE WOORDEN GEFLUISTERD?","1. किस कान में ताने मारे गए?","১. কোন কানে কষ্টের কথা বলা হয়েছিল?","1. Ni sikio gani lilisikiliza maneno ya kuumiza?","1. Wane kunne aka fada kalmomin ciwo?","1. Ẹ́nu wo ni wọ́n sọ ọ́rọ̀ ìbànújẹ sí?","1. N’ebéé ka okwu nwute bịara n’utiè?","፩። እየተናገሩ የህመም ቃላት ወደ የትኛው ጆሮ ገቡ፧","1. Gurra kamiin jechoonni miidhaa dhaga'aman?","1. Yiliphi ikhala elizwile amazwi abuhlungu?","1. Dhegtee ayaa la geliyay erayadii xanuunka?","1. Nzeve ipi yakanzwa mashoko anorwadza?","1. Telinga mana yang menerima kata-kata pedas?"
"21","LEFT","IZQUIERDO","左耳","왼쪽","左","LINKS","GAUCHE","SAB LAUG","SX","ЛЕВ","Kali","ESQ","TRÁI","ຊ້າຍ","ซ้าย","ឆ្","LINKS","बायाँ","বাঁ","Kushoto","Hagu","Òsì","Aka ekpe","ግራ","Bitaa","Lokwesobunxele","Bidix","Kuruboshwe","Kiri"
"22","RIGHT","DERECHO","右耳","오른쪽","右","RECHTS","DROITE","SAB XIS","DX","ПРАВ","Kanan","DIR","PHẢI","ຂວາ","ขวา","ស្","RECHTS","दायाँ","ডান","Kulia","Dama","Ọtún","Aka nri","ቀኝ","Mirga","Lokwesokudla","Midig","Kurudyi","Kanan"
"23","BOTH","AMBOS","两只","양쪽 다","両方","BEIDE","LES DEUX","OB SAB","ENT","ОБЕ","Pare","AMB","ĐÔI","ຄູ່","คู่","ទាំង","BEIDE","दोनों","দুটোই","Vyote","Duka","Méjèèjì","Ma abụọ","ሁለቱም","Lamaan","Omabili","Labadaba","Dzese","Keduanya"
"24","2. IS THERE PERMANENT FEELING DAMAGE?","2. ¿HAY DAÑO EMOCIONAL PERMANENTE?","2. 情绪是否留下永久损伤？","2. 감정 영구 손상인가요?","2. 感情に永久ダメージ?","2. DAUERHAFTES FÜHLCHEN-LECK?","2. DOMMAGE ÉMO BÉTON ?","2. MOB POB TW TSIS TXAWJ TAG?","2. C'E UN DANNO EMO PERMANENTE?","2. ЕСТЬ ВЕЧНЫЕ ЧУВСТВ. ТРАВМЫ?","2. MAY PERMANENTENG SAKIT-DAMDAMIN?","2. HÁ DANO EMO ETERNO?","2. CÓ SẸO CẢM XÚC VĨNH VIỄN?","ຂໍ້ ໒ ແມ່ນມີຮອຍໃຈຖາວອນບໍ","ข้อ ๒ มีแผลใจถาวรไหม","មានស្នាមឈឺចិត្តអចិន្ត្រៃយ៍ទេ?","2. IS ER PERMANENTE GEVOELSSCHADE?","2. क्या स्थायी भावनात्मक नुकसान हुआ?","২. স্থায়ী মানসিক ক্ষতি হয়েছে কি?","2. Kuna madhara ya kudumu ya hisia?","2. Shin akwai rauni na dindindin?","2. Ṣé ìfarapa ọkàn àtẹ̀yìnwá wà?","2. Ò nwere mmerụ obi na-adịgide adịgide?","፪። ቋሚ የስሜት ጉዳት አለ፧","2. Miidhaan sammuu yeroo dheeraaf jira?","2. Kukhona ukulimala okuhlala njalo?","2. Ma jirtaa dhaawac joogto ah oo dareen ah?","2. Pane kukuvara kunoramba kuripo here?","2. Ada luka batin permanen?"
"25","YES","SÍ","是","네","はい","JA","OUI","YOG","SI","ДА","OO","SIM","CÓ","ຈິງ","มี","មាន","JA","हाँ","হ্যাঁ","Ndiyo","Eh","Bẹ́ẹ̀ni","Ee","አዎን","Eeyyee","Yebo","Haa","Hongu","Ya"
"26","NO","NO","否","아니요","いいえ","NEIN","NON","TSIS YOG","NO","НЕ","DI","N","KO","ບໍ","ไม่","ទេ","NEE","नहीं","না","Hapana","A'a","Rárá","Mba","አይደለም","Lakki","Cha","Maya","Kwete","Tidak"
"27","MAYBE","QUIZÁS","可能","아마도","たぶん","VIELLEICHT","PEUT-ÊTRE","TEJ ZAUM","FORSE","МОЖЕТ","BKA","QUIÇÁ","CHẮC?","ອາດ","มั้ง","អាច","MISSCHIEN","शायद","হতে পারে","Labda","Watakila","Bóyá","Ikekwe","ምናልባት","Sambayyuu","Mhlawumbe","Malaha","Pamwe","Mungkin"
